protocol,model,seed,endpoint,budget,N,k,diagnostic_only,U,regret_raw,regret_display,improvement_over_random,oracle_improvement_fraction,cutoff_score,strictly_selected_count,cutoff_tied_count,selected_from_cutoff_tie
lcro_9_15,global_stats,43,J,50%,264,132,True,0.37686518094129917,0.0009451114629028812,0.0009451114629028812,0.17826950568205313,0.9947263706612813,0.4500134505331516,131,1,1
lcro_9_15,global_stats,44,terminal,10%,264,26,True,0.03669103503657075,0.0023390444425436183,0.0023390444425436183,0.28845418350948,0.991956331105037,0.050254661589860916,25,1,1
lcro_9_15,global_stats,44,terminal,25%,264,66,True,0.04583163388694326,0.00031798479683470965,0.00031798479683470965,0.27931358465910744,0.998862843714487,0.06025214493274689,65,1,1
lcro_9_15,global_stats,44,terminal,50%,264,132,True,0.09744096382972643,0.001361883838068359,0.001361883838068359,0.22770425471632427,0.9940546261151341,0.19801808893680573,131,1,1
lcro_9_15,global_stats,44,J,10%,264,26,True,0.33528907433553684,0.0045744108919723026,0.0045744108919723026,0.21984561228781546,0.979616743518881,0.3524990921529631,25,1,1
lcro_9_15,global_stats,44,J,25%,264,66,True,0.3470667807764263,0.0017780051369106764,0.0017780051369106764,0.20806790584692603,0.9915270918142998,0.35804176159823936,65,1,1
lcro_9_15,global_stats,44,J,50%,264,132,True,0.3767165686118074,0.0007964991334111216,0.0007964991334111216,0.1784181180115449,0.9955556128953094,0.44282933038969835,131,1,1
lcro_9_15,global_stats,45,terminal,10%,264,26,True,0.03595288223228776,0.001600891638260625,0.001600891638260625,0.28919233631376295,0.9944947423654421,0.0487663559615612,25,1,1
lcro_9_15,global_stats,45,terminal,25%,264,66,True,0.04583163388694326,0.00031798479683470965,0.00031798479683470965,0.27931358465910744,0.998862843714487,0.05849957466125488,65,1,1
lcro_9_15,global_stats,45,terminal,50%,264,132,True,0.09730842082309678,0.001229340831438705,0.001229340831438705,0.22783679772295395,0.994633249422211,0.20514141023159027,131,1,1
lcro_9_15,global_stats,45,J,10%,264,26,True,0.3357365294545441,0.0050218660109795366,0.0050218660109795366,0.21939815716880823,0.9776229146587495,0.3548771982391675,25,1,1
lcro_9_15,global_stats,45,J,25%,264,66,True,0.34721910116345633,0.0019303255239407346,0.0019303255239407346,0.20791558545989597,0.9908012240272367,0.36067133738348883,65,1,1
lcro_9_15,global_stats,45,J,50%,264,132,True,0.37672118298873136,0.0008011135103350719,0.0008011135103350719,0.17841350363462094,0.995529865124299,0.4481136929243803,131,1,1
lcro_9_15,global_stats,46,terminal,10%,264,26,True,0.03848055732221557,0.00412856672818844,0.00412856672818844,0.28666466122383516,0.985802397266041,0.05257238447666168,25,1,1
lcro_9_15,global_stats,46,terminal,25%,264,66,True,0.04583163388694326,0.00031798479683470965,0.00031798479683470965,0.27931358465910744,0.998862843714487,0.06375164538621902,65,1,1
lcro_9_15,global_stats,46,terminal,50%,264,132,True,0.09785638336854224,0.0017773033768841706,0.0017773033768841706,0.22728883517750847,0.9922410907692403,0.20759108662605286,131,1,1
lcro_9_15,global_stats,46,J,10%,264,26,True,0.3384360380537169,0.007721374610152376,0.007721374610152376,0.2166986485696354,0.9655940922706054,0.35779108994950853,25,1,1
