example,sample_id,model,seed,time_s,prediction
1,b005_0291,gnn,42,1800.0,0.39227214455604553
1,b005_0291,gnn,42,1860.0,0.3831162750720978
1,b005_0291,gnn,42,1920.0,0.37303486466407776
1,b005_0291,gnn,42,1980.0,0.36314550042152405
1,b005_0291,gnn,42,2040.0,0.3534296452999115
1,b005_0291,gnn,42,2100.0,0.34386885166168213
1,b005_0291,gnn,42,2160.0,0.3344017267227173
1,b005_0291,gnn,42,2220.0,0.3249957263469696
1,b005_0291,gnn,42,2280.0,0.3156890273094177
1,b005_0291,gnn,42,2340.0,0.30649498105049133
1,b005_0291,gnn,42,2400.0,0.29742518067359924
1,b005_0291,gnn,42,2460.0,0.288490891456604
1,b005_0291,gnn,42,2520.0,0.27869540452957153
1,b005_0291,gnn,42,2580.0,0.26870813965797424
1,b005_0291,gnn,42,2640.0,0.25892767310142517
1,b005_0291,gnn,42,2700.0,0.24936628341674805
1,b005_0291,gnn,42,2760.0,0.24002349376678467
1,b005_0291,gnn,42,2820.0,0.2308664172887802
1,b005_0291,gnn,42,2880.0,0.22192342579364777
1,b005_0291,gnn,42,2940.0,0.21354161202907562
1,b005_0291,gnn,42,3000.0,0.205562025308609
1,b005_0291,gnn,42,3060.0,0.19788102805614471
1,b005_0291,gnn,42,3120.0,0.19047915935516357
1,b005_0291,gnn,42,3180.0,0.18334168195724487
1,b005_0291,gnn,42,3240.0,0.17632552981376648
1,b005_0291,gnn,42,3300.0,0.16955280303955078
1,b005_0291,gnn,42,3360.0,0.16304880380630493
1,b005_0291,gnn,42,3420.0,0.1567884236574173
1,b005_0291,gnn,42,3480.0,0.15065868198871613
1,b005_0291,gnn,42,3540.0,0.14469043910503387
1,b005_0291,gnn,42,3600.0,0.13895122706890106
1,b005_0291,gnn,43,0.0,0.9963802695274353
1,b005_0291,gnn,43,60.0,0.9953904151916504
1,b005_0291,gnn,43,120.0,0.9711260199546814
1,b005_0291,gnn,43,180.0,0.7961136102676392
1,b005_0291,gnn,43,240.0,0.749311625957489
1,b005_0291,gnn,43,300.0,0.7462778091430664
1,b005_0291,gnn,43,360.0,0.7486845254898071
1,b005_0291,gnn,43,420.0,0.7492709159851074
1,b005_0291,gnn,43,480.0,0.7470219135284424
1,b005_0291,gnn,43,540.0,0.7420026063919067
1,b005_0291,gnn,43,600.0,0.735720157623291
1,b005_0291,gnn,43,660.0,0.72852623462677
1,b005_0291,gnn,43,720.0,0.7184910178184509
1,b005_0291,gnn,43,780.0,0.7051600813865662
1,b005_0291,gnn,43,840.0,0.6904325485229492
1,b005_0291,gnn,43,900.0,0.6741296052932739
1,b005_0291,gnn,43,960.0,0.6561259627342224
1,b005_0291,gnn,43,1020.0,0.6366437673568726
1,b005_0291,gnn,43,1080.0,0.6155813336372375
1,b005_0291,gnn,43,1140.0,0.5927767753601074
1,b005_0291,gnn,43,1200.0,0.5650351047515869
1,b005_0291,gnn,43,1260.0,0.5356624722480774
1,b005_0291,gnn,43,1320.0,0.5052236318588257
1,b005_0291,gnn,43,1380.0,0.4747239053249359
1,b005_0291,gnn,43,1440.0,0.4489037096500397
1,b005_0291,gnn,43,1500.0,0.4251575171947479
1,b005_0291,gnn,43,1560.0,0.41343119740486145
1,b005_0291,gnn,43,1620.0,0.40377700328826904
1,b005_0291,gnn,43,1680.0,0.3950362503528595
1,b005_0291,gnn,43,1740.0,0.3869953453540802
1,b005_0291,gnn,43,1800.0,0.37947356700897217
1,b005_0291,gnn,43,1860.0,0.37211889028549194
1,b005_0291,gnn,43,1920.0,0.3647695481777191
1,b005_0291,gnn,43,1980.0,0.35583677887916565
1,b005_0291,gnn,43,2040.0,0.34630098938941956
1,b005_0291,gnn,43,2100.0,0.33687835931777954
1,b005_0291,gnn,43,2160.0,0.3271639347076416
1,b005_0291,gnn,43,2220.0,0.3172175884246826
1,b005_0291,gnn,43,2280.0,0.3071722090244293
1,b005_0291,gnn,43,2340.0,0.2973684072494507
1,b005_0291,gnn,43,2400.0,0.28780990839004517
1,b005_0291,gnn,43,2460.0,0.2784980535507202
1,b005_0291,gnn,43,2520.0,0.26943278312683105
1,b005_0291,gnn,43,2580.0,0.2606142461299896
1,b005_0291,gnn,43,2640.0,0.252043217420578
1,b005_0291,gnn,43,2700.0,0.2437216341495514
1,b005_0291,gnn,43,2760.0,0.23565305769443512
